City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
241,Airai,TL,-8.9266,125.4092,54.88,91,85,3.76,overcast clouds
242,Bambous Virieux,MU,-20.3428,57.7575,70.21,68,40,17.27,scattered clouds
243,Mawlaik,MM,23.6333,94.4167,76.46,97,73,1.05,broken clouds
244,Alto Araguaia,BR,-17.3147,-53.2153,71.31,34,6,5.19,clear sky
245,Del Rio,US,29.3627,-100.8968,105.91,22,0,9.22,clear sky
246,Volksrust,ZA,-27.3654,29.8818,44.76,62,5,6.67,clear sky
247,Saskylakh,RU,71.9167,114.0833,46.27,83,100,13.15,light rain
248,Kununurra,AU,-15.7667,128.7333,46.38,76,7,0.0,clear sky
249,Oranjemund,NA,-28.55,16.4333,53.73,90,0,3.47,clear sky
250,Ulety,RU,51.3572,112.4849,53.26,77,47,2.93,scattered clouds
251,Simao,CN,22.7886,100.9748,64.11,97,8,1.45,clear sky
252,Llanes,ES,43.4198,-4.7549,70.9,77,0,5.82,clear sky
253,Northam,GB,51.0333,-4.2167,64.38,74,4,2.01,clear sky
254,Pangody,RU,65.85,74.4859,50.77,91,11,9.62,few clouds
255,Klaksvik,FO,62.2266,-6.589,52.72,94,91,24.23,overcast clouds
256,Haines Junction,CA,60.7522,-137.5108,67.95,42,99,2.3,overcast clouds
257,Kimberley,ZA,-28.7323,24.7623,40.69,75,3,6.91,clear sky
258,Eyl,SO,7.9803,49.8164,78.21,67,62,25.68,broken clouds
259,Caravelas,BR,-17.7125,-39.2481,70.34,81,26,3.94,scattered clouds
260,Chissamba,AO,-12.1667,17.3333,59.09,39,2,0.98,clear sky
261,Kieta,PG,-6.2167,155.6333,82.33,74,92,5.73,light rain
262,Hasaki,JP,35.7333,140.8333,77.29,86,0,2.73,clear sky
263,Ronde,DK,56.3014,10.4751,57.02,83,75,5.75,broken clouds
264,Upernavik,GL,72.7868,-56.1549,38.89,84,50,4.61,scattered clouds
265,Nyurba,RU,63.2842,118.3319,60.6,85,23,0.74,few clouds
266,Anastacio,BR,-20.4836,-55.8069,81.37,35,63,5.95,broken clouds
267,Galle,LK,6.0367,80.217,78.73,85,100,18.23,overcast clouds
268,High Prairie,CA,55.4334,-116.4858,69.55,50,78,14.2,broken clouds
269,Vestmannaeyjar,IS,63.4427,-20.2734,51.35,95,100,10.25,overcast clouds
270,Sirjan,IR,29.452,55.6814,82.06,48,99,3.24,overcast clouds
271,Emerald,AU,-23.5333,148.1667,45.77,63,0,10.71,clear sky
272,Port Blair,IN,11.6667,92.75,80.64,94,100,4.61,heavy intensity rain
273,Lukovetskiy,RU,64.2956,41.9211,60.62,78,100,5.91,light rain
274,Elk Point,US,42.6833,-96.6836,93.88,28,2,17.05,clear sky
275,Porto De Moz,BR,-1.7483,-52.2383,75.22,93,13,1.23,few clouds
276,Sampit,ID,-2.5333,112.95,73.11,98,100,1.74,overcast clouds
277,Wenatchee,US,47.4235,-120.3103,87.26,32,0,5.99,clear sky
278,Pochutla,MX,15.7432,-96.4661,90.82,69,100,5.64,overcast clouds
279,Jinchang,CN,38.4953,102.1739,64.62,77,85,4.92,overcast clouds
280,Mogadishu,SO,2.0371,45.3438,75.38,83,48,19.6,light rain
281,Sergeyevka,KZ,53.88,67.4158,63.66,92,85,7.7,overcast clouds
282,Akyab,MM,20.15,92.9,79.47,88,92,10.67,overcast clouds
283,Pisco,PE,-13.7,-76.2167,64.45,72,0,20.71,clear sky
284,Cayenne,GF,4.9333,-52.3333,82.09,1,75,3.44,broken clouds
285,Egvekinot,RU,66.3167,-179.1667,42.58,88,100,5.3,overcast clouds
286,Riyadh,SA,24.6877,46.7219,91.54,9,100,8.41,overcast clouds
287,Tamale,GH,9.4008,-0.8393,76.93,80,100,8.05,overcast clouds
288,Souillac,MU,-20.5167,57.5167,70.18,68,40,17.27,scattered clouds
289,San Quintin,MX,30.4833,-115.95,74.52,64,6,16.42,clear sky
290,Saint-Pierre,RE,-21.3393,55.4781,67.91,72,20,3.44,few clouds
291,Matara,LK,5.9485,80.5353,77.52,86,100,16.58,overcast clouds
292,Buckeye,US,33.3703,-112.5838,114.53,13,42,6.91,scattered clouds
293,Lasalgaon,IN,20.15,74.2333,71.37,91,100,17.02,overcast clouds
294,Machico,PT,32.7,-16.7667,72.23,88,20,8.05,few clouds
295,Salym,RU,60.0625,71.4789,62.51,95,6,3.31,clear sky
